% this is the file that will classifly commits as mistake of not a mistake

@relation python_mistakes

@attribute commit_message string
@attribute additions numeric
@attribute deletions numeric
@attribute class {yes, no}

@data


'some cleanup, tests run again', 1, 1, yes
'bug', 1, 1, yes
'Fix issue related to gid=0 and the corresponding worksheets position in the spreadsheet.', 1, 1, yes
'Use boolean operator and for boolean expression rather than bitwise & in has_current_data() function.', 1, 1, yes
'typo', 4, 2, yes
'typo', 1, 1, yes
'Minor Fixes - Typos and maths in docsEnsuring the documentation showing the functions is correct andaccurate.', 39, 40, yes
'#2153: views.py, adjust spacing and indentation', 15, 1, yes
'bug fix', 1, 1, yes
'Production Summary, added Seconds processing', 1, 1, yes
'Fixed connection_limit and added UTDue to a typo, the REST API attribute of connection_limit wasnot accessed when creating a new lbaas-V2 listener.This patch fixes the typo, so that the connection_limit canbe initialized when listener is created. Also, the previouscode did not have UT for connection_limit when the listenerwas created. The same has been added here.Closes-Bug: #1515112Conflicts:	neutronclient/neutron/v2_0/lb/v2/listener.pyChange-Id: I71eef7b92de91edc1f3ce48f40c645bca704427d(cherry picked from commit 9baa62c3c58f4d6187ab22fc3c04843efd283b55)', 3, 2, yes
'build docs', 1, 1, yes
'fixes', 1, 1, yes
'Fix typo in CactusCafWrapperLarge2', 1, 1, yes
'Fix, a typo.', 2, 2, yes
'Fix gpio to uppercase GPIO', 1, 1, yes
'fix base source import after Shougo/deoplete.nvim@e3e4c4a', 1, 1, yes
'geolite longi lati', 2, 1, yes
'fix syntax error', 1, 1, yes
'typo', 2, 2, yes
'...', 1, 1, yes
'typo', 2, 2, yes
'Fix patricks bot.', 1, 1, yes
'Force program_cycle_s to be used as an attribue everywhere', 1, 1, yes
'Fixed motor when turning by degrees', 1, 1, yes
'bugfix: set correct function call', 1, 1, yes
'fix typo', 1, 1, yes
'Woops. Fixed syntax error', 1, 1, yes
'Fixing typo', 1, 1, yes
'Fix Another typo in installation/test_m_nodes_inst_on_cos7.py', 1, 1, yes
'autocommit', 1, 1, yes
'Fixing a typo.', 1, 1, yes
'Signed-off-by: zry <admin@z-touhou.org>', 1, 1, yes
'Fixed typos.', 2, 3, yes
'Code Review:- Add "`" to a print message- Fix indentation- Refactor some vault stuff in another method', 22, 38, no
'Small fix', 1, 1, no
'Production Summary, added Seconds processing', 1, 1, no
'find_nas -> find_ac', 1, 1, no
'fix some broken imports', 1, 1, no
'suite.py: must pass at least once through the backtrack loopChanging the default of newest to 0 meant that the combinedloop which handles both backtrack and non-backtrack conditionswas never executing, leading to undefined variables.Signed-off-by: Dan Mick <dan.mick@redhat.com>', 1, 1, no
'[add etldr_null etldr_none]', 1, 1, no
'port:80', 1, 1, no
'Production Summary, added Seconds processing', 1, 1, no
'small fix', 1, 1, no
' ', 1, 1, no
'	modified:   ../params.py', 1, 1, no
'[IMP] Bye to crm_rma_lot_mass_return module: crm_rma_lot_mass_return module was joined with crm_claim_rma', 1, 1, no
'Fix some typos', 4, 4, no
'exceptional error in to_python def', 1, 1, no
'agreement sale blah uses region', 1, 1, no
'BUG: replaced old Events syntax from CCCP', 2, 3, no
'BUG: extra return value uncaught.', 1, 1, no
