
@relation python_mistakes

@attribute commit_message string
@attribute additions numeric
@attribute deletions numeric
@attribute changes numeric
@attribute actual_changes string
@attribute attribute_TAB numeric
@attribute attribute_NEWLINE numeric
@attribute attribute_CARRIAGE_RETURN numeric
@attribute attribute_EXCLAMATION_MARK numeric
@attribute attribute_QUOTATION_MARK numeric
@attribute attribute_NUMBER_SIGN numeric
@attribute attribute_DOLLAR_SIGN numeric
@attribute attribute_PERCENT_SIGN numeric
@attribute attribute_AMPERSAND numeric
@attribute attribute_APOSTROPHE numeric
@attribute attribute_LEFT_PARENTHESIS numeric
@attribute attribute_RIGHT_PARENTHESIS numeric
@attribute attribute_ASTERISK numeric
@attribute attribute_PLUS_SIGN numeric
@attribute attribute_COMMA numeric
@attribute attribute_HYPHEN-MINUS numeric
@attribute attribute_FULL_STOP numeric
@attribute attribute_SOLIDUS numeric
@attribute attribute_DIGIT_ZERO numeric
@attribute attribute_DIGIT_ONE numeric
@attribute attribute_DIGIT_TWO numeric
@attribute attribute_DIGIT_THREE numeric
@attribute attribute_DIGIT_FOUR numeric
@attribute attribute_DIGIT_FIVE numeric
@attribute attribute_DIGIT_SIX numeric
@attribute attribute_DIGIT_SEVEN numeric
@attribute attribute_DIGIT_EIGHT numeric
@attribute attribute_DIGIT_NINE numeric
@attribute attribute_COLON numeric
@attribute attribute_SEMICOLON numeric
@attribute attribute_LESS-THAN_SIGN numeric
@attribute attribute_EQUALS_SIGN numeric
@attribute attribute_GREATER-THAN_SIGN numeric
@attribute attribute_QUESTION_MARK numeric
@attribute attribute_COMMERCIAL_AT numeric
@attribute attribute_LEFT_SQUARE_BRACKET numeric
@attribute attribute_REVERSE_SOLIDUS numeric
@attribute attribute_RIGHT_SQUARE_BRACKET numeric
@attribute attribute_CIRCUMFLEX_ACCENT numeric
@attribute attribute_LOW_LINE numeric
@attribute attribute_GRAVE_ACCENT numeric
@attribute attribute_LEFT_CURLY_BRACKET numeric
@attribute attribute_VERTICAL_LINE numeric
@attribute attribute_RIGHT_CURLY_BRACKET numeric
@attribute attribute_TILDE numeric
@attribute LETTERS_CHANGED numeric
@attribute class {yes, no}

@data
'fix import error', 1, 1, 2, 'version SPACE EQUALS_SIGN SPACE APOSTROPHE DIGIT_ZERO FULL_STOP DIGIT_ZERO FULL_STOP DIGIT_FOUR APOSTROPHE NEWLINE version SPACE EQUALS_SIGN SPACE APOSTROPHE DIGIT_ZERO FULL_STOP DIGIT_ZERO FULL_STOP DIGIT_FIVE APOSTROPHE NEWLINE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, no
'addedprintsfordebugging', 1, 1, 10, ' SPACE SPACE SPACE SPACE app FULL_STOP run LEFT_PARENTHESIS debug EQUALS_SIGN True RIGHT_PARENTHESIS NEWLINE SPACE SPACE SPACE SPACE app FULL_STOP run LEFT_PARENTHESIS RIGHT_PARENTHESIS NEWLINE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, no
'kafkaconsumerisadded', 1, 1, 28, ' NEWLINE NUMBER_SIGN all SPACE kafka SPACE brokers SPACE are SPACE added NEWLINE', 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, no
'updateversionto', 1, 1, 1, ' SPACE SPACE SPACE SPACE SPACE SPACE version EQUALS_SIGN APOSTROPHE DIGIT_ZERO FULL_STOP DIGIT_ONE APOSTROPHE COMMA NEWLINE SPACE SPACE SPACE SPACE SPACE SPACE version EQUALS_SIGN APOSTROPHE DIGIT_ZERO FULL_STOP DIGIT_ONE DIGIT_ONE APOSTROPHE COMMA NEWLINE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, no
'Addfilesviaupload', 1, 1, 0, ' SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE print LEFT_PARENTHESIS APOSTROPHE Usage COLON SPACE PERCENT_SIGN s SPACE LEFT_SQUARE_BRACKET query RIGHT_SQUARE_BRACKET APOSTROPHE SPACE PERCENT_SIGN SPACE sys FULL_STOP argv LEFT_SQUARE_BRACKET DIGIT_ZERO RIGHT_SQUARE_BRACKET RIGHT_PARENTHESIS NEWLINE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE print LEFT_PARENTHESIS APOSTROPHE Usage COLON SPACE PERCENT_SIGN s SPACE LEFT_SQUARE_BRACKET query RIGHT_SQUARE_BRACKET APOSTROPHE SPACE PERCENT_SIGN SPACE sys FULL_STOP argv LEFT_SQUARE_BRACKET DIGIT_ZERO RIGHT_SQUARE_BRACKET RIGHT_PARENTHESIS NEWLINE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, no
'Updatetestpy', 1, 1, 1, ' SPACE SPACE SPACE SPACE user LOW_LINE input EQUALS_SIGN raw LOW_LINE input LEFT_PARENTHESIS APOSTROPHE Plerase COLON SPACE APOSTROPHE RIGHT_PARENTHESIS NEWLINE SPACE SPACE SPACE SPACE user LOW_LINE input EQUALS_SIGN raw LOW_LINE input LEFT_PARENTHESIS APOSTROPHE Please COLON SPACE APOSTROPHE RIGHT_PARENTHESIS NEWLINE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, no
'addingthemixturegaussiantensorflowimplementationwithoutlikelihood', 1, 1, 14, ' SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE return SPACE z NEWLINE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE return SPACE z FULL_STOP reshape LEFT_PARENTHESIS size RIGHT_PARENTHESIS NEWLINE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, no
'Failcase', 1, 1, 2, ' SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE return SPACE x SPACE PLUS_SIGN SPACE y NEWLINE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE return SPACE x SPACE HYPHEN-MINUS SPACE y NEWLINE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, no
'testsMinorfixtotypoinastring', 1, 1, 2, ' SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE self FULL_STOP skipTest LEFT_PARENTHESIS QUOTATION_MARK Multipart SPACE no SPACE allowed QUOTATION_MARK RIGHT_PARENTHESIS NEWLINE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE self FULL_STOP skipTest LEFT_PARENTHESIS QUOTATION_MARK Multipart SPACE not SPACE allowed FULL_STOP QUOTATION_MARK RIGHT_PARENTHESIS NEWLINE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, no
'endlinkangle', 1, 1, 2, ' SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE endlink LOW_LINE angle EQUALS_SIGN DIGIT_ZERO FULL_STOP DIGIT_ONE COMMA NEWLINE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE SPACE endlink LOW_LINE angle EQUALS_SIGN DIGIT_ZERO FULL_STOP DIGIT_TWO COMMA NEWLINE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, no
